from,to,year,relationship
erdmeier,dapr,2016,6
erdmeier,hs_gesundheit,2014,6
erdmeier,hs_gesundheit,2015,6
erdmeier,rtl,2011,7
erdmeier,rtl,2012,7
erdmeier,stiftung_bertelsmann,2016,8
erdmeier,stiftung_bertelsmann,2016,9
erdmeier,stiftung_bertelsmann,2017,9
erdmeier,stiftung_bertelsmann,2018,9
erdmeier,stiftung_bertelsmann,2019,9
erdmeier,stiftung_bertelsmann,2020,9
erdmeier,stiftung_bertelsmann,2021,9
erdmeier,stiftung_bertelsmann,2022,9
erdmeier,uni_hamburg,2012,3
erdmeier,uni_hamburg,2013,3
erdmeier,uni_hamburg,2014,3
erdmeier,uni_marburg,2009,2
erdmeier,uni_marburg,2010,2
erdmeier,uni_marburg,2011,2
erdmeier,uni_marburg,2012,2
erdmeier,uni_paderborn,2018,15
erdmeier,uni_paderborn,2019,15
erdmeier,uni_paderborn,2020,15
erdmeier,uni_paderborn,2021,15
erdmeier,uni_paderborn,2022,15
evers,angel_ai,2015,9
evers,bundestag,2020,9
evers,bundestag,2021,9
evers,bundeswehr,2018,9
evers,bundeswehr,2019,9
evers,dpa,2021,8
evers,dpa,2022,8
evers,freelance,2016,10
evers,freelance,2017,10
evers,freelance,2018,10
evers,freelance,2019,10
evers,freelance,2020,10
evers,freelance,2021,10
evers,freelance,2022,10
evers,italiainnovation,2019,14
evers,loadstudios,2017,9
evers,loadstudios,2018,9
evers,nike,2014,7
evers,srh_berlin,2012,2
evers,srh_berlin,2013,2
evers,srh_berlin,2014,2
evers,srh_berlin,2015,2
evers,uni_telaviv,2019,3
evers,uni_telaviv,2020,3
evers,viktor_rolf,2016,9
evers,viktor_rolf,2017,9
ewald,debattierclub,,11
ewald,ewald_roessing,,12
ewald,kommoguntia,,13
ewald,uni_halle,,2
ewald,uni_mainz,,3
falke,bild,2014,7
falke,evidero,2015,7
falke,evidero,2016,7
falke,fischerappelt,2016,8
falke,fischerappelt,2017,8
falke,fischerappelt,2018,8
falke,fischerappelt,2018,9
falke,fischerappelt,2019,9
falke,fischerappelt,2020,9
falke,fischerappelt,2021,9
falke,freundlich,,17
falke,hmkw,2013,2
falke,hmkw,2014,2
falke,hmkw,2015,2
falke,hmkw,2016,2
falke,jolie,2015,7
falke,lagemann,,17
falke,roeloffs,,17
fastner,we_communications,,9
feuser,bluehouse,2019,9
feuser,bluehouse,2020,9
feuser,bluehouse,2021,9
feuser,bluehouse,2022,9
feuser,jungeleute,2015,6
feuser,rlvnt,2017,9
feuser,rlvnt,2018,9
feuser,rlvnt,2019,9
feuser,ruf_reisen,2008,9
feuser,ruf_reisen,2009,9
feuser,ruf_reisen,2010,9
feuser,ruf_reisen,2011,9
feuser,ruf_reisen,2012,9
feuser,ruf_reisen,2013,9
feuser,ruf_reisen,2014,9
feuser,ruf_reisen,2015,9
feuser,ruf_reisen,2016,9
feuser,ruf_reisen,2017,9
feuser,ruf_reisen,2013,1
feuser,ruf_reisen,2014,1
feuser,ruf_reisen,2015,1
feuser,ruf_reisen,2016,1
fischer,christmasvillage,2016,9
fischer,christmasvillage,2017,9
fischer,christmasvillage,2018,9
fischer,christmasvillage,2019,9
fischer,consense,2021,9
fischer,mbw_group,2018,10
fischer,oberbayrisches_volksblatt,2012,10
fischer,oberbayrisches_volksblatt,2013,10
fischer,oberbayrisches_volksblatt,2014,10
fischer,oberbayrisches_volksblatt,2015,10
fischer,oberbayrisches_volksblatt,2016,10
fischer,oberbayrisches_volksblatt,2017,10
fischer,oberbayrisches_volksblatt,2018,10
fischer,oberbayrisches_volksblatt,2019,10
fischer,oberbayrisches_volksblatt,2020,10
fischer,oberbayrisches_volksblatt,2021,10
fischer,oberbayrisches_volksblatt,2022,10
fischer,porternovelli,2014,7
fischer,porternovelli,2015,7
fischer,prosieben,2015,7
fischer,punch,2019,9
fischer,punch,2020,9
fischer,uni_goeteborg,2013,4
fischer,uni_goeteborg,2014,4
fischer,uni_goeteborg,2013,14
fischer,uni_muenchen,2015,3
fischer,uni_muenchen,2016,3
fischer,uni_muenchen,2017,3
fischer,uni_salzburg,2011,2
fischer,uni_salzburg,2012,2
fischer,uni_salzburg,2013,2
fischer,uni_salzburg,2014,2
fischer,uni_salzburg,2015,2
fischer,uni_salzburg,2015,14
fischer,warner,2021,9
fischer,warner,2022,9
follesa,bsp,,2
follesa,styleheads,,9
forster,berkeley,2018,7
forster,berkeley,2019,7
forster,bilandia,2015,7
forster,capgemini,2017,7
forster,capgemini,2018,7
forster,enactus,2017,13
forster,henghuber,2014,7
forster,henghuber,2015,7
forster,henghuber,2016,7
forster,henghuber,2017,7
forster,inverto,2019,7
forster,munichre,2017,7
forster,rauch_j,,17
forster,schwartz,,17
forster,schwartzpr,2019,9
forster,schwartzpr,2020,9
forster,schwartzpr,2021,9
forster,schwartzpr,2022,9
forster,stelzer,,17
forster,uni_muenchen,2018,7
forster,uni_muenchen,2019,7
forster,uni_muenchen,2013,2
forster,uni_muenchen,2014,2
forster,uni_muenchen,2015,2
forster,uni_muenchen,2016,2
forster,uni_muenchen,2017,2
forster,uni_muenchen,2017,3
forster,uni_muenchen,2018,3
forster,uni_muenchen,2019,3
franz,uni_bonn,,3
franz,uni_maastricht,,2
franz,zalando,,9
freudenstein,bundestag,,9
freudenstein,csu,,11
freudenstein,uni_passau,,19
freudenstein,uni_regensburg,,5
freudenstein,verkehrsministerium,,9
freundlich,fischerappelt,,9
frey,haufe,,9
fries,auswaertigesamt,2017,7
fries,bohne,,17
fries,br,2012,7
fries,bs_copenhagen,2017,3
fries,bs_copenhagen,2018,3
fries,bs_copenhagen,2019,3
fries,bundestag,2013,7
fries,csu,2020,9
fries,csu,2021,9
fries,csu,2022,9
fries,direktion_fries,2019,9
fries,direktion_fries,2020,9
fries,direktion_fries,2021,9
fries,direktion_fries,2022,9
fries,fries_consulting,2013,9
fries,fries_consulting,2014,9
fries,fries_consulting,2015,9
fries,fries_consulting,2016,9
fries,fries_consulting,2017,9
fries,koenigswinter,2019,11
fries,niedermeier,,17
fries,seidelstiftung,2016,14
fries,seidelstiftung,2017,14
fries,staatskanzlei_hessen,2014,7
fries,syddansk,2015,4
fries,syddansk,2016,4
fries,ted,2021,10
fries,uni_cambridge,2019,3
fries,uni_helsinki,2018,4
fries,uni_zeppelin,2016,7
fries,uni_zeppelin,2013,2
fries,uni_zeppelin,2014,2
fries,uni_zeppelin,2015,2
fries,uni_zeppelin,2016,2
fries,uni_zeppelin,2017,2
fries,urban,,17
fries,zdf,2015,7
friese,fom,2013,15
friese,fom,2014,15
friese,fom,2015,15
friese,fom,2016,15
friese,fom,2017,15
friese,fom,2018,15
friese,fom,2019,15
friese,hs_polizei,2014,15
friese,hs_polizei,2015,15
friese,hs_polizei,2016,15
friese,hs_polizei,2017,15
friese,hs_polizei,2018,15
friese,hs_polizei,2019,15
friese,hs_polizei,2020,15
friese,hs_polizei,2021,15
friese,idema,2012,9
friese,idema,2013,9
friese,idema,2014,9
friese,idema,2015,9
friese,mayrpr,2020,9
friese,mayrpr,2021,9
friese,mayrpr,2022,9
friese,potentialpark,2019,9
friese,potentialpark,2020,9
friese,storypark,2022,9
friese,territory,2014,9
friese,territory,2015,9
friese,territory,2016,9
friese,territory,2017,9
friese,territory,2018,9
friese,territory,2019,9
friese,territory,2020,9
friese,territory,2021,9
friese,uni_bochum,2012,3
friese,uni_bochum,2013,3
friese,uni_bochum,2014,3
friese,uni_duesseldorf,2009,2
friese,uni_duesseldorf,2010,2
friese,uni_duesseldorf,2011,2
friese,uni_duesseldorf,2012,2
froehler,communication_consultants,,9
froehler,uni_hohenheim,,20
froehler,uni_passau,,20
frommhold,dprg,,13
frommhold,otto_group,,9
frommhold,uni_hannover,,19
fuhrmann,aka_agency,2015,9
fuhrmann,aka_agency,2016,9
fuhrmann,bsis,2013,3
fuhrmann,bsis,2014,3
fuhrmann,bcw,2016,9
fuhrmann,bcw,2017,9
fuhrmann,deutschebotschaft,2012,7
fuhrmann,deutschebotschaft,2013,7
fuhrmann,fleishmanhillard,2014,9
fuhrmann,google,2017,9
fuhrmann,google,2018,9
fuhrmann,google,2019,9
fuhrmann,google,2020,9
fuhrmann,google,2021,9
fuhrmann,google,2022,9
fuhrmann,ifok,2015,9
fuhrmann,linnaeus,2011,14
fuhrmann,marshall,2014,7
fuhrmann,res_publicaffairs,2015,9
fuhrmann,res_publicaffairs,2016,9
fuhrmann,uni_jordan,2011,4
fuhrmann,uni_jordan,2012,4
fuhrmann,uni_malmoe,2010,2
fuhrmann,uni_malmoe,2011,2
fuhrmann,uni_malmoe,2012,2
fuhrmann,uni_malmoe,2013,2
gaisdoerfer,clark,,9
gaisdoerfer,uni_mainz,,19
galani,cement,2011,7
galani,cement,2012,7
galani,cement,2013,7
galani,cement,2014,7
galani,cement,2014,9
galani,cement,2015,9
galani,cement,2016,9
galani,cement,2017,9
galani,cement,2018,9
galani,dhbw,2011,2
galani,dhbw,2012,2
galani,dhbw,2013,2
galani,dhbw,2014,2
galani,foundamental,2018,9
galani,foundamental,2019,9
galani,foundamental,2020,9
galani,foundamental,2021,9
galani,hellermann,,17
galani,krombacher,2021,9
galani,krombacher,2022,9
galani,samsoe,2020,9
galani,samsoe,2021,9
gardeweg,aserto,2017,10
gardeweg,aserto,2018,10
gardeweg,aserto,2019,10
gardeweg,citymarketing,2015,7
gardeweg,citymarketing,2016,7
gardeweg,citymarketing,2017,7
gardeweg,finsbury,2016,7
gardeweg,finsbury,2018,7
gardeweg,hs_hannover,2017,3
gardeweg,hs_hannover,2018,3
gardeweg,hs_hannover,2019,3
gardeweg,hs_osnabrueck,2014,2
gardeweg,hs_osnabrueck,2015,2
gardeweg,hs_osnabrueck,2016,2
gardeweg,hs_osnabrueck,2017,2
gardeweg,kniess,,17
gardeweg,kommunikos,2017,11
gardeweg,prsh,2018,11
gardeweg,prsh,2019,11
gardeweg,radio_rst,2013,7
gardeweg,swisslife,2019,9
gardeweg,swisslife,2020,9
gardeweg,swisslife,2021,9
gardeweg,swisslife,2022,9
gardeweg,uni_duesseldorf,2013,2
gardeweg,uni_duesseldorf,2014,2
gast,baumann,,17
gast,bieller,,17
gast,bundestag,2014,7
gast,computacenter,2020,9
gast,computacenter,2021,9
gast,computacenter,2022,9
gast,daad,2016,14
gast,deutschlandstip,2018,14
gast,duechting,,17
gast,kinderkrebshilfe,2015,7
gast,kinderkrebshilfe,2016,7
gast,kinderkrebshilfe,2017,7
gast,kinderkrebshilfe,2018,7
gast,mckesson,2018,7
gast,mckesson,2019,7
gast,mckesson,2020,7
gast,priho,2020,13
gast,priho,2021,13
gast,priho,2022,13
gast,rtl,2015,7
gast,uni_hohenheim,2017,3
gast,uni_hohenheim,2018,3
gast,uni_hohenheim,2019,3
gast,uni_hohenheim,2020,3
gast,uni_mainz,2015,7
gast,uni_mainz,2016,7
gast,uni_mainz,2013,2
gast,uni_mainz,2014,2
gast,uni_mainz,2015,2
gast,uni_mainz,2016,2
gast,uni_mainz,2017,2
gast,uni_sandiego,2016,4
gast,uni_sandiego,2017,4
gehring,bild,2009,7
gehring,bundestag,2013,7
gehring,henkel,2015,7
gehring,henkel,2016,8
gehring,henkel,2017,8
gehring,henkel,2017,9
gehring,henkel,2018,9
gehring,henkel,2019,9
gehring,henkel,2020,9
gehring,henkel,2021,9
gehring,henkel,2022,9
gehring,lamart,2014,7
gehring,mediengruppe,2010,7
gehring,uni_abatoliba,2012,4
gehring,uni_abatoliba,2013,4
gehring,uni_bamberg,2013,3
gehring,uni_bamberg,2014,3
gehring,uni_bamberg,2015,3
gehring,uni_bamberg,2016,3
gehring,uni_bamberg,2017,3
gehring,uni_eichstaett,2010,2
gehring,uni_eichstaett,2011,2
gehring,uni_eichstaett,2012,2
gehring,uni_eichstaett,2013,2
gehring,uni_hagen,2013,2
gehring,werbeagentur_mueller,2008,7
genius,brainpool,2014,7
genius,continental,2017,9
genius,continental,2018,9
genius,continental,2019,9
genius,continental,2020,9
genius,continental,2021,9
genius,douglas,2021,9
genius,douglas,2022,9
genius,ellerbeck,,17
genius,faktor3,2015,7
genius,hs_hannover,2014,2
genius,hs_hannover,2015,2
genius,hs_hannover,2016,2
genius,hs_hannover,2017,2
genius,hs_hannover,2017,14
genius,koerber,2017,9
genius,ndr,2014,7
genius,prsh,2016,13
genius,prsh,2017,13
genius,tui,2016,7
genius,tui,2017,7
gerlach,balloupr,2015,9
gerlach,balloupr,2016,9
gerlach,balloupr,2017,9
gerlach,brunswick,2013,9
gerlach,brunswick,2014,9
gerlach,brunswick,2015,9
gerlach,brunswick,2016,9
gerlach,brunswick,2017,9
gerlach,brunswick,2018,9
gerlach,brunswick,2019,9
gerlach,brunswick,2020,9
gerlach,brunswick,2021,9
gerlach,capgemini,2010,9
gerlach,creditsuisse,2021,9
gerlach,creditsuisse,2022,9
gerlach,mountholyoke,2009,2
gerlach,mountholyoke,2010,2
gerlach,mountholyoke,2011,2
gerlach,mountholyoke,2012,2
gerlach,thomsonreuters,2011,7
gerlach,uni_standrews,2011,4
gerlach_j,hs_reutlingen,,2
gerlach_j,northeastern,,2
gerlach_j,philipps,,9
gille,ceconomy,2020,9
gille,ceconomy,2021,9
gille,ceconomy,2022,9
gille,djm_communication,2016,9
gille,djm_communication,2017,9
gille,dprg,2015,13
gille,dprg,2016,13
gille,dprg,2017,13
gille,dprg,2018,13
gille,dprg,2019,13
gille,dprg,2020,13
gille,dprg,2021,13
gille,dprg,2022,13
gille,hs_gelsenkirchen,2010,2
gille,hs_gelsenkirchen,2011,2
gille,hs_gelsenkirchen,2012,2
gille,hs_gelsenkirchen,2013,2
gille,hs_quadriga,2017,3
gille,hs_quadriga,2018,3
gille,hs_quadriga,2019,3
gille,kommpassion,2013,8
gille,kommpassion,2014,8
gille,kommpassion,2014,9
gille,kommpassion,2015,9
gille,landtag_nrw,2011,7
gille,siemens,2012,7
gille,siemens,2013,7
gille,vonovia,2016,9
gille,vonovia,2017,9
gille,vonovia,2018,9
gille,vonovia,2019,9
gille,vonovia,2020,9
gille,wazmedia,2010,7
girard,bdkom,2017,11
girard,careerloft,2017,14
girard,dprg,2019,11
girard,dprg,2020,11
girard,dprg,2021,11
girard,dprg,2022,11
girard,edeka,2017,7
girard,edelman,2017,7
girard,grayling,2018,8
girard,grayling,2019,8
girard,grayling,2019,9
girard,grayling,2020,9
girard,gwpr,2021,11
girard,gwpr,2022,11
girard,konsumforschung,2013,7
girard,konsumforschung,2014,7
girard,priho,2015,11
girard,priho,2016,11
girard,priho,2017,11
girard,priho,2018,11
girard,seifertpr,2015,7
girard,seifertpr,2016,7
girard,seifertpr,2017,7
girard,spreadshirt,2018,7
girard,tiktok,2020,9
girard,tiktok,2021,9
girard,tiktok,2022,9
girard,tu_ilmenau,2011,2
girard,tu_ilmenau,2012,2
girard,tu_ilmenau,2013,2
girard,tu_ilmenau,2014,2
girard,tu_ilmenau,2015,2
girard,uni_hohenheim,2015,3
girard,uni_hohenheim,2016,3
girard,uni_hohenheim,2017,3
girard,uni_hohenheim,2018,3
gluckin,bateman,2015,9
gluckin,bateman,2016,9
gluckin,bateman,2017,9
gluckin,cls_associates,2013,7
gluckin,cognito,2011,7
gluckin,cognito,2012,7
gluckin,getyourguide,2017,9
gluckin,getyourguide,2018,9
gluckin,getyourguide,2019,9
gluckin,getyourguide,2020,9
gluckin,hotwire,2013,9
gluckin,hotwire,2014,9
gluckin,hotwire,2015,9
gluckin,humboldtuni,2012,4
gluckin,pitch,2021,9
gluckin,pitch,2022,9
gluckin,reck,,17
gluckin,uni_washington,2009,2
gluckin,uni_washington,2010,2
gluckin,uni_washington,2011,2
gluckin,uni_washington,2012,2
gluckin,uni_washington,2013,2
goetter,acad_excellence,2020,6
goetter,basf,2015,7
goetter,becker,,17
goetter,bott,,17
goetter,dai_heidelberg,2014,7
goetter,dapr,2019,6
goetter,dapr,2020,6
goetter,gerlach_j,,17
goetter,hohenzollerische,2009,10
goetter,hohenzollerische,2010,10
goetter,hohenzollerische,2011,10
goetter,hohenzollerische,2012,10
goetter,hs_quadriga,2020,6
goetter,hubert,,17
goetter,knaack,,17
goetter,koeppe,,17
goetter,kotysch,,17
goetter,lufthansa,2017,7
goetter,lufthansa,2018,7
goetter,mckesson,2016,7
goetter,mckesson,2017,7
goetter,montua,,17
goetter,montuapartner,2019,9
goetter,montuapartner,2020,9
goetter,reifschneider,,17
goetter,rheinneckar_tv,2014,7
goetter,rheinneckar_tv,2015,7
goetter,schardt,,17
goetter,sopra,2021,9
goetter,sopra,2022,9
goetter,sportreisen,2016,7
goetter,stotz,,17
goetter,uni_hohenheim,2015,3
goetter,uni_hohenheim,2016,3
goetter,uni_hohenheim,2017,3
goetter,uni_hohenheim,2018,3
goetter,uni_hohenheim,2019,3
goetter,uni_mannheim,2011,2
goetter,uni_mannheim,2012,2
goetter,uni_mannheim,2013,2
goetter,uni_mannheim,2014,2
goetter,uni_mannheim,2015,2
goetter,zeq,2014,7
goetter,zeq,2015,7
golombek,deutschenbaur,,17
golombek,fc_kaiserslautern,2015,8
golombek,fc_kaiserslautern,2016,8
golombek,freelance,2016,10
golombek,freelance,2017,10
golombek,freelance,2018,10
golombek,freelance,2019,10
golombek,freelance,2020,10
golombek,freelance,2021,10
golombek,freelance,2022,10
golombek,hofmann_m,,17
golombek,knoerle,,17
golombek,leithaeuser,,17
golombek,lprs,2017,13
golombek,lprs,2018,13
golombek,porsche,2019,7
golombek,porsche,2019,9
golombek,porsche,2020,9
golombek,porsche,2021,9
golombek,porsche,2022,9
golombek,solms_laubach,,17
golombek,uni_leipzig,2016,3
golombek,uni_leipzig,2017,3
golombek,uni_leipzig,2018,3
golombek,uni_leipzig,2019,3
golombek,uni_mannheim,2011,2
golombek,uni_mannheim,2012,2
golombek,uni_mannheim,2013,2
golombek,uni_mannheim,2014,2
golombek,uni_mannheim,2015,2
golombek,uni_ohio,2017,4
golombek,westfaelischer_anzeiger,2008,10
golombek,westfaelischer_anzeiger,2009,10
golombek,westfaelischer_anzeiger,2010,10
golombek,westfaelischer_anzeiger,2011,10
golombek,westfaelischer_anzeiger,2012,10
golombek,westfaelischer_anzeiger,2013,10
golombek,westfaelischer_anzeiger,2014,10
golombek,westfaelischer_anzeiger,2015,10
golombek,zerweck,,17
graswald,ainetter,,17
graswald,aware,2021,10
graswald,aware,2022,10
graswald,bundespresseamt,2012,7
graswald,bundespresseamt,2013,7
graswald,bundespresseamt,2014,7
graswald,bundestag,2015,9
graswald,bundestag,2016,9
graswald,bundestag,2017,9
graswald,bundestag,2018,9
graswald,freelance,2021,10
graswald,freelance,2022,10
graswald,fu_berlin,2015,3
graswald,fu_berlin,2016,3
graswald,fu_berlin,2017,3
graswald,fu_berlin,2018,3
graswald,schaetzle,,17
graswald,schaetzle,,18
graswald,seidelstiftung,2012,14
graswald,seidelstiftung,2013,14
graswald,seidelstiftung,2014,14
graswald,seidelstiftung,2015,14
graswald,seidelstiftung,2016,14
graswald,seidelstiftung,2017,14
graswald,seidelstiftung,2018,14
graswald,seidelstiftung,2019,14
graswald,seidelstiftung,2020,14
graswald,seidelstiftung,2021,14
graswald,seidelstiftung,2022,14
graswald,uni_passau,2012,2
graswald,uni_passau,2013,2
graswald,uni_passau,2014,2
graswald,uni_passau,2015,2
graswald,volkswagen,2021,9
graswald,volkswagen,2022,9
graupner,auswaertigesamt,2012,7
graupner,bvmed,2016,7
graupner,degepol,2020,11
graupner,degepol,2021,11
graupner,degepol,2022,11
graupner,deutschebahn,2021,9
graupner,deutschebahn,2022,9
graupner,efellows,2020,14
graupner,efellows,2021,14
graupner,fdp,2017,7
graupner,haase,,17
graupner,hs_quadriga,2020,3
graupner,hs_quadriga,2021,3
graupner,hs_quadriga,2022,3
graupner,intuitive,2020,9
graupner,intuitive,2021,9
graupner,naumannstiftung,2020,14
graupner,tesla,2018,9
graupner,tesla,2019,9
graupner,tesla,2020,9
graupner,uni_eichstaett,2015,7
graupner,uni_eichstaett,2014,2
graupner,uni_eichstaett,2015,2
graupner,uni_eichstaett,2016,2
graupner,uni_eichstaett,2017,2
graupner,uni_seoul,2016,4
graupner,uni_standrews,2017,3
graupner,uni_standrews,2018,3
graupner,winter_c,,17
grillo,bischoff,,17
grillo,carta,2017,8
grillo,carta,2018,8
grillo,carta,2018,9
grillo,carta,2019,9
grillo,carta,2020,9
grillo,carta,2021,9
grillo,dapr,2020,6
grillo,fraunhoferiis,2016,7
grillo,fraunhoferiis,2017,7
grillo,harris,,17
grillo,ifok,2021,9
grillo,ifok,2022,9
grillo,nexttime,2009,7
grillo,nexttime,2010,7
grillo,nexttime,2011,7
grillo,uni_nuernberg,2014,7
grillo,uni_nuernberg,2015,7
grillo,uni_nuernberg,2016,7
grillo,uni_nuernberg,2011,2
grillo,uni_nuernberg,2012,2
grillo,uni_nuernberg,2013,2
grillo,uni_nuernberg,2014,2
grillo,uni_nuernberg,2015,2
grillo,uni_nuernberg,2015,3
grillo,uni_nuernberg,2016,3
grillo,uni_nuernberg,2017,3
grillo,zehfuss,,17
gruen,hs_darmstadt,2012,7
gruen,hs_darmstadt,2013,7
gruen,hs_darmstadt,2011,2
gruen,hs_darmstadt,2012,2
gruen,hs_darmstadt,2013,2
gruen,hs_darmstadt,2014,2
gruen,hs_rheinmain,2014,3
gruen,hs_rheinmain,2015,3
gruen,hs_rheinmain,2016,3
gruen,ikea,2016,7
gruen,ikea,2017,7
gruen,ikea,2017,9
gruen,ikea,2018,9
gruen,ikea,2019,9
gruen,ikea,2020,9
gruen,ikea,2021,9
gruen,ikea,2022,9
gruen,israeltoday,2010,7
gruen,nextpr,2015,9
gruen,nextpr,2016,9
gruen,samsung,2016,10
gruen,samsung,2017,10
gruen,samsung,2018,10
gruen,samsung,2019,10
gruen,samsung,2020,10
gruen,samsung,2021,10
gruen,zdf,2013,7
gruen,zdf,2014,7
gruen,zdf,2015,7
guettner,avantgarde,2016,10
guettner,avantgarde,2017,10
guettner,bdkom,2018,11
guettner,bdkom,2019,11
guettner,bdkom,2020,11
guettner,bdkom,2021,11
guettner,bdkom,2022,11
guettner,bode,,17
guettner,content_company,2017,10
guettner,daimler,2018,9
guettner,deutschlandstip,2018,14
guettner,djv,,11
guettner,dprg,,11
guettner,driveline,2017,10
guettner,freelance,2014,10
guettner,freelance,2015,10
guettner,freelance,2016,10
guettner,freelance,2017,10
guettner,freelance,2018,10
guettner,freelance,2019,10
guettner,freelance,2020,10
guettner,freelance,2021,10
guettner,freelance,2022,10
guettner,howe,,17
guettner,hs_bonn,2011,2
guettner,hs_bonn,2012,2
guettner,hs_bonn,2013,2
guettner,hs_bonn,2014,2
guettner,hs_bonn,2015,2
guettner,hs_bonn,2016,2
guettner,hs_bonn,2017,2
guettner,hs_bonn,2017,3
guettner,hs_bonn,2018,3
guettner,hs_bonn,2019,3
guettner,humboldt_verpackung,2012,7
guettner,humboldt_verpackung,2013,7
guettner,mahle,2019,9
guettner,man,2019,9
guettner,man,2020,9
guettner,man,2021,9
guettner,man,2022,9
guettner,porsche,2013,7
guettner,porsche,2014,7
guettner,porsche,2015,7
guettner,porsche,2015,9
guettner,porsche,2016,9
guettner,racecam,2014,9
guettner,racecam,2015,9
guettner,racecam,2016,9
guettner,racecam,2017,9
guettner,technikjournal,2012,9
guettner,technikjournal,2013,9
guettner,uni_istanbul,2012,4
guettner,vda_verband,2016,7
guettner,vda_verband,2017,7
haag,arte,2018,7
haag,batonnier,,17
haag,buergerfonds,2020,9
haag,buergerfonds,2021,9
haag,buergerfonds,2022,9
haag,buetow,,17
haag,dfjw,2015,7
haag,dfjw,2018,9
haag,dfjw,2019,9
haag,dfjw,2020,9
haag,handelsblatt,2017,10
haag,handelsblatt,2018,10
haag,handelsblatt,2019,10
haag,kurc,,17
haag,mannheimermorgen,2012,10
haag,mannheimermorgen,2013,10
haag,mannheimermorgen,2014,10
haag,open2europe,2016,7
haag,opheliaspr,2014,7
haag,opheliaspr,2015,7
haag,schaal,,17
haag,signum,2013,7
haag,tallineau,,17
haag,uni_mannheim,2011,2
haag,uni_mannheim,2012,2
haag,uni_mannheim,2013,2
haag,uni_mannheim,2014,2
haag,uni_mannheim,2015,2
haag,uni_sorbonne,2013,4
haag,uni_vincennes,2016,3
haag,uni_vincennes,2017,3
haag,uni_vincennes,2018,3
haag,weissenburger,2011,7
haag,zeit,2017,9
haas,suedwesttextil,,9
haas,uni_koeln,,20
haase,koelnmetall,,9
habert,aboutyou,2017,9
habert,aboutyou,2018,9
habert,aboutyou,2019,9
habert,aboutyou,2020,9
habert,edelman,2015,8
habert,edelman,2016,8
habert,edelman,2017,8
habert,edelman,2017,9
habert,eutop,2009,7
habert,eutop,2014,7
habert,eutop,2015,7
habert,ey,2012,7
habert,territory,2020,9
habert,territory,2021,9
habert,territory,2022,9
habert,uni_maastricht,2010,2
habert,uni_maastricht,2011,2
habert,uni_maastricht,2012,2
habert,uni_maastricht,2013,2
habert,uni_maastricht,2014,3
habert,uni_maastricht,2015,3
habert,uni_soedertoern,2012,4
habert,uni_soedertoern,2013,4
hackel,axelspringer,2013,7
hackel,bbdo,2015,7
hackel,bbdo,2017,8
hackel,bbdo,2018,8
hackel,different,2019,9
hackel,different,2020,9
hackel,different,2021,9
hackel,different,2022,9
hackel,fischerappelt,2016,8
hackel,fischerappelt,2017,8
hackel,hs_wilhelmshaven,2011,2
hackel,hs_wilhelmshaven,2012,2
hackel,hs_wilhelmshaven,2013,2
hackel,hs_wilhelmshaven,2014,2
hackel,hs_wilhelmshaven,2015,2
hackel,lagemann,,17
hackel,rckt,2018,9
hackel,rckt,2019,9
hackel,tbwa,2015,7
hackel,thegoodkit,2021,12
hackel,thegoodkit,2022,12
hackel,wolff,,17
haller,gwpr,,13
haller,siemens,,9
haller,uni_muenchen,,19
hanke,klenkhoursch,,12
hanke,uni_leipzig,,19
harris,carta,,9
harris,uni_mainz,,19
hein,ard,2014,10
hein,ard,2015,10
hein,ard,2016,10
hein,ard,2017,10
hein,ard,2018,7
hein,axelspringer,2014,7
hein,bb_academy,2018,7
hein,bb_academy,2019,7
hein,bb_academy,2020,7
hein,bdkom,2015,11
hein,cdu,2018,7
hein,cdu,2020,9
hein,cdu,2021,9
hein,euparlament,2016,7
hein,euparlament,2017,7
hein,euparlament,2018,7
hein,freelance,2018,10
hein,freelance,2019,10
hein,freelance,2020,10
hein,freelance,2021,10
hein,freelance,2022,10
hein,fu_berlin,2017,3
hein,fu_berlin,2018,3
hein,fu_berlin,2019,3
hein,fu_berlin,2020,3
hein,fu_berlin,2021,5
hein,fu_berlin,2022,5
hein,gauly,2017,7
hein,hs_mtm,2013,2
hein,hs_mtm,2014,2
hein,hs_mtm,2015,2
hein,hs_mtm,2016,2
hein,merz,2020,10
hein,merz,2021,10
hein,napoko,2021,13
hein,napoko,2022,13
hein,orgnxme,2021,9
hein,orgnxme,2022,9
hein,stiftung_adenauer,2019,7
hein,stiftung_adenauer,2015,14
hein,storymachine,2020,7
heinz,afstichting,2012,10
heinz,afstichting,2013,10
heinz,agentur_d_tales,2017,10
heinz,agentur_d_tales,2018,10
heinz,bayerischegeschichte,2015,10
heinz,constantin,2021,9
heinz,constantin,2022,9
heinz,cornelsen,2017,9
heinz,cornelsen,2018,9
heinz,cornelsen,2019,9
heinz,cornelsen,2020,9
heinz,cornelsen,2021,9
heinz,digitaleslernen,2011,10
heinz,digitaleslernen,2012,10
heinz,digitaleslernen,2013,10
heinz,digitaleslernen,2014,10
heinz,digitaleslernen,2015,10
heinz,digitaleslernen,2016,10
heinz,digitaleslernen,2017,10
heinz,digitaleslernen,2018,10
heinz,digitaleslernen,2019,10
heinz,digitaleslernen,2020,10
heinz,digitaleslernen,2021,10
heinz,icp_paris,2012,4
heinz,icp_paris,2013,4
